timestamp auctionId
26 22
4 11
18 15
31 26
47 10
2 12
81 8
10 1
69 7
33 24
15 27
35 9
79 8
47 27
56 10
2 11
46 7
22 23
61 12
4 24
67 24
38 25
8 5
32 11
76 20
60 25
16 13
65 14
28 11
100 16
2 12
56 12
61 11
53 20
71 27
21 17
49 26
7 16
61 2
94 27
53 18
81 22
20 22
56 8
56 8
14 17
45 28
99 3
4 11
37 14
76 6
4 3
99 21
36 13
5 16
24 25
31 29
43 24
77 13
90 17
20 27
65 19
30 12
77 23
39 18
60 4
51 20
17 14
15 24
81 7
8 14
67 4
15 13
57 28
59 17
58 9
61 29
30 10
54 14
45 30
31 3
28 14
40 17
12 26
76 25
35 17
94 4
30 23
87 6
75 21
65 20
90 3
1 5
71 14
100 16
17 5
87 16
61 19
89 15
83 14
90 24
66 29
55 1
27 24
26 18
95 21
27 4
44 29
54 3
95 15
63 14
79 10
11 29
15 1
84 9
91 29
10 8
46 22
34 23
90 20
5 20
45 22
93 2
52 29
61 14
97 11
34 17
32 24
68 13
100 18
83 4
68 18
24 9
47 9
1 15
95 19
52 29
36 16
66 5
77 14
33 3
67 1
17 29
96 6
58 17
88 30
81 2
29 14
71 15
59 23
65 17
31 13
39 19
12 13
37 15
42 18
16 29
60 8
89 9
19 18
50 29
48 29
28 15
27 16
4 18
41 26
89 18
68 7
52 9
22 14
30 21
74 29
89 3
34 5
44 8
100 4
5 30
60 12
69 30
80 22
14 7
57 6
35 24
26 8
62 23
71 29
4 18
49 9
20 22
41 16
97 20
16 20
96 11
8 18
3 17
1 24
66 10
69 15
35 6
17 9
21 21
89 8
14 25
37 6
81 5
38 8
77 13
67 27
17 5
14 3
51 1
47 15
20 9
42 4
33 26
82 11
15 23
48 19
93 27
33 5
33 30
80 13
53 16
79 5
74 12
49 9
6 24
54 13
99 12
34 15
85 6
38 25
94 3
82 20
14 23
28 12
89 20
100 25
3 18
15 15
93 8
22 25
29 1
13 7
38 1
21 10
49 10
84 15
64 20
68 17
92 14
71 28
21 19
56 14
86 7
59 16
78 22
89 18
44 1
5 14
84 4
77 28
6 28
14 1
47 22
46 17
25 19
74 24
2 2
23 27
15 10
51 10
88 22
34 4
31 3
8 29
61 9
25 26
49 6
82 2
53 10
92 13
86 27
51 9
38 30
2 12
30 13
15 22
40 24
83 18
83 7
71 8
68 25
55 9
1 17
3 22
6 15
60 10
63 13
46 30
46 4
11 27
45 12
64 13
93 27
11 6
78 3
38 23
26 2
14 5
15 25
18 3
68 19
35 10
36 10
71 6
38 15
60 16
52 5
88 29
9 10
88 20
39 26
43 29
82 25
50 11
30 5
82 15
85 10
24 30
98 10
15 20
71 21
46 16
85 24
50 9
86 25
50 15
85 14
43 8
43 4
47 28
91 28
1 7
47 30
26 29
91 11
95 8
73 17
77 20
18 30
96 12
10 24
62 21
10 15
14 3
2 3
19 20
77 20
32 18
96 29
22 24
52 5
7 9
66 25
65 11
53 22
10 8
82 24
3 29
70 17
70 20
67 9
61 28
52 2
89 10
97 4
82 2
21 14
45 3
5 9
30 28
98 25
8 6
60 7
28 23
91 23
70 5
87 25
6 24
82 13
44 22
45 5
39 15
67 5
87 24
81 25
24 4
18 13
84 22
37 1
5 17
22 26
52 16
81 21
2 2
24 10
61 4
88 12
54 4
46 28
26 26
78 18
69 12
50 12
38 4
82 2
41 29
89 21
10 18
72 18
49 20
92 21
71 13
78 18
85 26
38 8
52 28
80 6
55 29
25 20
94 24
28 10
78 5
60 14
5 27
37 8
38 26
93 2
44 14
62 13
84 15
6 24
85 8
6 14
4 14
74 23
31 12
41 19
38 5
56 7
22 3
93 25
62 7
92 1
12 16
7 18
70 13
32 4
69 1
91 4
100 22
52 17
98 16
88 23
26 3
92 7
67 7
7 20
98 10
14 6
61 2
90 11
84 8
66 1
50 29
56 9
43 26
95 4
41 17
84 9
88 5
73 17
92 3
71 5
47 17
26 4
96 5
53 14
34 12
19 30
91 24
73 18
14 1
15 13
77 5
9 9
22 1
32 16
63 21
55 16
77 24
7 15
48 24
73 25
84 1
50 16
16 21
64 27
70 27
77 1
15 13
68 11
63 1
38 20
77 18
78 26
49 28
50 24
61 17
84 7
3 24
32 5
47 15
30 17
20 29
95 10
52 22
77 2
72 28
38 30
11 1
12 6
93 20
95 21
1 12
11 15
19 17
2 18
89 7
70 4
32 18
16 28
29 11
67 7
37 12
56 10
73 22
31 15
99 10
31 12
76 20
66 1
63 15
95 3
55 6
35 28
80 11
71 26
96 27
28 25
74 3
59 5
71 11
54 11
7 18
13 15
59 27
81 29
90 21
76 10
29 6
41 30
98 29
17 10
67 26
74 16
28 9
27 3
3 10
4 28
97 26
13 26
49 30
38 3
88 2
93 2
67 27
98 12
83 13
30 18
17 9
89 15
61 8
58 23
9 19
44 2
68 19
41 18
37 6
57 14
64 20
33 2
21 8
96 9
28 11
85 14
52 10
100 29
81 11
13 27
48 12
43 28
75 22
17 16
13 20
54 13
35 29
69 24
76 24
92 27
15 7
46 2
61 7
48 9
11 5
31 25
64 20
7 17
62 22
99 8
20 17
60 19
5 25
40 25
7 12
37 9
86 12
26 30
56 29
33 2
40 27
49 23
62 19
7 15
48 7
70 9
66 27
79 5
82 14
85 24
45 4
5 17
55 30
92 18
56 11
56 14
3 8
34 4
55 26
93 6
86 12
4 7
22 22
86 3
9 1
76 25
23 27
41 26
99 28
76 21
67 30
35 29
44 21
62 17
89 18
49 19
44 3
26 10
98 2
18 30
19 15
15 14
94 9
95 6
51 13
6 29
78 30
69 25
24 22
98 6
24 13
98 25
63 19
57 15
55 23
71 8
72 21
20 1
55 12
81 30
93 18
97 12
19 19
95 22
16 19
8 8
23 26
83 9
28 2
42 22
54 6
21 19
27 5
42 2
89 26
35 14
70 7
72 27
30 19
12 6
14 28
58 30
48 15
66 16
54 4
48 12
67 6
3 14
41 23
74 19
58 19
54 30
25 5
67 1
7 14
15 29
66 17
50 16
90 4
69 16
37 11
71 27
27 15
84 25
96 23
55 6
64 16
74 26
14 26
29 9
63 27
97 22
67 25
63 7
13 1
22 1
20 15
76 6
20 23
75 16
39 2
41 25
38 19
71 7
63 30
5 15
94 17
5 19
60 18
1 27
77 14
33 17
20 6
49 24
16 7
16 11
53 21
63 25
24 6
13 20
56 22
90 11
53 27
71 8
13 23
4 18
81 5
2 10
46 24
73 1
31 1
4 6
77 12
89 19
1 14
76 12
68 16
72 1
42 20
35 18
71 24
12 4
86 15
75 5
52 22
60 8
62 13
73 12
38 19
65 16
18 28
69 20
4 1
92 9
10 24
51 12
1 28
33 30
64 26
47 30
12 28
91 1
85 28
67 20
80 11
19 27
21 21
39 2
85 14
23 28
38 9
4 2
45 6
73 25
95 5
45 5
41 19
96 25
51 1
10 6
63 22
3 2
21 12
38 6
42 29
48 28
79 23
76 18
82 30
38 8
4 20
35 11
80 7
4 26
74 10
28 3
51 8
71 21
57 24
64 20
4 19
28 20
43 20
66 14
31 9
65 2
79 14
80 25
85 21
54 26
86 30
53 2
60 12
43 2
65 12
11 5
38 3
4 30
30 27
13 20
89 21
33 16
39 2
17 21
17 2
53 1
83 28
35 18
85 10
72 10
24 29
72 14
53 23
48 7
83 18
19 21
53 16
57 20
59 25
47 14
27 13
57 7
69 3
94 21
74 26
72 27
39 29
96 27
65 23
78 3
15 7
48 20
17 7
97 27
81 7
57 15
80 2
20 2
57 27
2 28
20 21
95 29
10 23
19 13
94 19
80 7
42 17
14 9
75 15
72 1
94 11
60 1
81 19
92 28
15 2
42 8
32 29
59 16
96 15
66 24
89 25
25 16
12 7
14 2
73 3
86 17
43 23
61 9
38 30
94 20
46 4
28 24
69 24
83 16
58 1
67 17
47 9
22 17
71 26
90 1
96 24
82 6
59 18
90 6
47 8
79 30
33 14
12 16
26 13
17 25
31 15
51 13
9 17
84 17
26 29
31 29
94 16
89 26
12 16
26 29
17 29
27 11
73 28
97 17
22 6
47 12
67 14
23 16
79 27
59 12
38 11
19 2
86 19
5 12
15 12
53 16
70 20
5 7
2 1
68 2
26 5
75 26
51 25
65 23
54 28
13 15
26 1
7 2
43 20
52 14
87 23
50 13
30 6
80 16
82 24
27 27
48 18
79 12
47 20
29 25
96 6
50 19
42 4
6 14
98 23
29 25
42 28
49 13
33 24
27 23
63 10
30 14
18 26
79 19
50 15
72 18
64 19
94 7
45 12
91 6
84 7
84 2
72 19
7 5
84 23
100 28
17 1
6 14
12 6
73 29
94 27
50 27
76 18
24 5
16 25
13 29
95 2
74 16
79 8
66 17
11 14
29 3
1 5
6 25
4 19
44 18
43 5
62 24
46 18
86 30
28 10
73 25
3 25
17 27
61 18
34 7
73 16
32 18
23 28
100 4
64 8
62 29
43 10
37 8
56 8
25 2
98 12
64 25
19 18
85 11
35 30
2 16
6 23
97 16
99 6
1 11
18 22
7 30
77 24
46 17
46 10
53 12
55 9
13 28
18 8
21 30
66 4
55 13
67 12
99 20
78 4
95 26
93 23
78 8
85 25
38 26
59 27
34 27
37 15
89 8
54 6
66 26
23 29
28 12
64 28
40 14
91 13
74 4
87 5
35 25
49 18
76 29
16 6
88 18
56 9
63 10
91 28
63 24
23 22
29 26
84 5
47 30
58 5
65 8
37 22
21 8
78 25
92 9
90 24
88 21
26 8
65 9
45 20
57 12
60 4
71 2
97 23
21 11
50 13
73 18
56 19
42 24
90 29
36 2
18 29
8 4
76 2
89 30
95 13
32 5
36 3
64 8
34 24
24 28
68 24
2 22
40 26
60 6
62 7
91 1
39 4
30 3
6 18
91 8
21 8
79 6
49 17
2 28
31 7
85 8
65 9
94 23
69 22
73 5
65 26
4 4
96 3
56 11
75 27
3 11
14 12
64 1
23 9
17 21
97 24
69 16
99 10
96 19
48 26
49 19
95 27
97 4
60 13
100 17
38 3
66 28
31 7
81 22
36 12
26 1
62 30
4 25
17 25
34 29
34 14
78 25
53 11
61 27
12 15
9 7
50 23
18 2
24 13
42 18
74 27
25 18
7 10
58 28
47 28
74 16
66 25
60 14
56 21
94 18
56 2
100 24
91 7
77 21
65 23
100 22
12 25
40 11
25 14
71 7
87 4
24 17
72 21
70 5
92 19
26 20
68 7
10 23
1 25
48 13
18 19
78 29
4 11
45 7
78 14
94 12
22 2
72 9
16 15
71 17
44 4
33 18
86 29
76 28
87 15
50 24
35 13
66 29
20 10
24 23
71 13
63 25
12 29
35 18
76 16
58 27
63 16
80 26
48 22
96 12
71 22
32 22
71 8
49 12
57 25
29 7
42 25
41 22
11 1
92 25
56 5
11 23
40 7
92 6
53 15
27 9
61 10
25 11
3 4
3 16
98 20
60 13
37 15
75 4
82 20
96 18
14 26
86 21
7 21
29 4
43 25
29 27
31 28
2 7
68 11
46 18
67 19
87 13
24 17
58 6
27 23
5 14
23 10
61 23
45 9
95 6
64 7
95 13
42 6
66 21
17 20
6 20
70 5
73 10
2 23
85 14
95 4
97 17
32 12
87 24
64 2
11 10
21 9
85 5
29 1
60 2
11 27
78 18
65 3
32 23
72 1
100 5
45 12
16 11
75 11
23 2
93 20
54 4
40 22
25 21
73 3
21 14
67 26
38 13
70 8
13 19
61 16
28 18
83 25
2 28
32 9
77 18
94 6
41 28
45 22
89 18
27 6
75 30
30 14
100 21
22 1
45 7
76 15
39 20
58 28
64 21
16 14
92 23
81 29
32 7
94 11
8 18
46 17
90 16
98 27
12 6
87 18
82 2
97 16
33 5
85 9
43 18
42 26
11 13
30 14
8 5
96 10
21 30
11 20
100 19
81 16
93 9
49 2
58 7
60 16
18 21
6 5
67 24
11 9
22 11
58 1
97 3
42 7
43 29
65 16
74 28
2 6
90 15
87 6
54 21
52 26
51 17
100 7
33 12
56 15
97 23
36 22
32 27
89 30
35 26
6 27
35 26
95 8
98 26
21 20
78 9
66 8
27 3
38 7
25 16
63 21
5 1
86 22
54 22
24 14
41 8
48 15
1 7
67 30
86 12
62 5
78 1
23 14
28 7
94 24
31 6
75 26
26 8
38 7
57 2
42 17
89 6
42 25
67 26
17 9
53 2
26 10
55 28
79 11
67 20
63 9
18 17
87 8
72 29
62 25
12 1
93 12
17 2
54 10
60 27
64 1
50 4
28 20
67 6
63 19
28 9
95 26
23 17
48 19
56 16
52 6
7 17
51 4
89 15
94 3
65 17
13 15
16 11
88 12
33 1
20 30
6 10
48 11
82 21
99 29
43 17
86 29
86 2
63 7
53 2
51 25
7 19
45 1
89 4
9 12
1 14
46 28
53 17
76 11
39 18
33 12
62 3
24 23
4 8
31 15
8 27
53 15
92 5
66 19
11 26
28 3
30 28
34 13
68 13
31 24
5 27
11 20
89 13
53 2
1 28
67 4
34 1
17 18
66 20
36 4
57 27
52 9
17 19
1 24
21 2
11 12
9 20
17 18
58 7
96 18
21 14
79 15
39 26
43 14
94 18
39 16
100 27
62 26
9 21
55 1
90 2
28 15
50 24
45 4
19 9
35 8
72 21
15 17
59 4
80 27
62 14
42 8
60 17
7 11
44 20
31 19
67 23
13 29
31 20
14 9
18 12
36 5
1 24
47 27
12 22
91 2
37 23
21 1
70 26
92 4
79 25
68 15
69 24
91 7
63 9
45 1
53 4
28 16
21 15
80 28
10 29
69 22
3 15
16 15
29 28
89 10
18 8
27 26
15 9
49 24
20 6
59 30
83 26
5 22
86 2
93 29
57 21
87 7
27 1
11 26
92 27
22 29
74 8
95 23
59 29
50 10
90 2
92 11
42 21
51 11
87 11
12 22
45 18
51 2
9 19
36 10
